title,date,link,# of indications
Unpacking FDA�s latest Alzheimer�s OK; A look at all drugs approved in 2022; Moderna�s deal spree; Pfizer revamps early research; and more � Endpoints News,"January 7, 2023 06:00 AM EST",https://endpts.com/unpacking-fdas-latest-alzheimers-ok-a-look-at-all-drugs-approved-in-2022-modernas-deal-spree-pfizer-revamps-early-research-and-more/,0
"Scoop: As Sio closes, former CEO from �vant exit finds himself at helm of Irv Weissman stealth biotech � Endpoints News","December 16, 2022 09:12 AM EST",https://endpts.com/scoop-as-sio-closes-former-ceo-from-vant-exit-finds-himself-at-helm-of-irv-weissman-stealth-biotech/,0
Prothena hopes to raise $180M after Eisai Alzheimer�s data prompted stock surge � Endpoints News,"December 14, 2022 10:47 AM EST",https://endpts.com/prothena-hopes-to-raise-180m-after-eisai-alzheimers-data-prompted-stock-surge/,1
"Nearly out of cash, a former Sarepta partner asks French courts to oversee restructuring � Endpoints News","December 8, 2022 10:36 AM EST",https://endpts.com/nearly-out-of-cash-a-former-sarepta-partner-asks-french-courts-to-oversee-restructuring/,1
Philip Tagari switches Amgen�s discovery lab for insitro�s machine learning tools; CEO Joaquin Duato to chair J&J�s board � Endpoints News,"December 2, 2022 07:18 AM ESTUpdated 02:41 PM",https://endpts.com/philip-tagari-switches-amgens-discovery-lab-for-insitros-machine-learning-tools-ceo-joaquin-duato-to-chair-jjs-board/,2
GSK vets theorize that a mitochondrial target may unlock Parkinson�s and ALS treatments in new startup � Endpoints News,"November 9, 2022 07:05 AM EST",https://endpts.com/gsk-vets-theorize-that-a-mitochondrial-target-may-unlock-parkinsons-and-als-treatments-in-new-startup/,2
"While PhIII Parkinson�s trials go slower than expected, Cerevel previews plans to raise $900M � Endpoints News","November 8, 2022 11:02 AM EST",https://endpts.com/while-phiii-parkinsons-trials-go-slower-than-expected-cerevel-previews-plans-to-raise-900m/,3
Ex-Rubius CEO dusts himself off at a different Flagship biotech; Hutchmed switches things up during pipeline refocus � Endpoints News,"November 18, 2022 07:11 AM ESTUpdated 09:42 AM",https://endpts.com/ex-rubius-ceo-dusts-himself-off-at-a-different-flagship-biotech-hutchmed-switches-things-up-during-pipeline-refocus/,0
Special report 2022: Meet 20 women blazing trails in biopharma R&D � Endpoints News,"December 7, 2022 07:00 AM ESTUpdated December 8, 10:38 AM",https://endpts.com/special-report-2022-meet-20-women-blazing-trails-in-biopharma-rd/,0
"Under hub-and-spoke biotech, serial founders launch new startup hoping to make gene therapies for the eye � Endpoints News","October 31, 2022 11:19 AM EDT",https://endpts.com/under-hub-and-spoke-biotech-serial-founders-launch-new-startup-hoping-to-make-gene-therapies-for-the-eye/,0
#CPHI22: A look back at the biggest manufacturing projects in 2022 � Endpoints News,"November 1, 2022 06:00 AM EDT",https://endpts.com/cphi22-a-look-back-at-the-biggest-manufacturing-projects-in-2022/,0
"Biogen, Seagen lock in CEOs; 2022 so far � by the numbers; Pharma on Twitter; Wave of biotech downsizing ; and more � Endpoints News","November 12, 2022 06:00 AM EST",https://endpts.com/biogen-seagen-lock-in-ceos-2022-so-far-by-the-numbers-pharma-on-twitter-wave-of-biotech-downsizing-and-more/,0
"After years of failures, the hunt for a new type of Parkinson�s drug is on � Endpoints News","August 29, 2022 09:00 AM EDTUpdated September 2, 02:09 PM",https://endpts.com/after-years-of-failures-the-hunt-for-a-new-type-of-parkinsons-drug-is-on/,3
Amneal asks FDA to approve another new formulation of Parkinson�s combo drug� � Endpoints News,"September 2, 2022 10:25 AM EDT",https://endpts.com/amneal-asks-fda-to-approve-another-new-formulation-of-parkinsons-combo-drug/,3
Broad and MIT scientists repurpose hot RNA editing tech as �radar� with uses in cancer and brain research � Endpoints News,"October 27, 2022 11:54 AM EDT",https://endpts.com/broad-and-mit-scientists-repurpose-hot-rna-editing-tech-as-radar-with-uses-in-cancer-and-brain-research/,0
"Gut check: Newest microbiome startup concentrates on autism, Parkinson�s disease � Endpoints News","November 30, 2016 08:14 AM EST",https://endpts.com/gut-check-newest-microbiome-startup-concentrates-on-autism-parkinsons-disease/,1
Two Aurinia execs are out � and CRISPR�s operations chief isn�t far behind; Biogen MS leader jumps to Eli Lilly partner � Endpoints News,"October 28, 2022 06:29 AM EDT",https://endpts.com/two-aurinia-execs-are-out-and-crisprs-operations-chief-isnt-far-behind-biogen-ms-leader-jumps-to-eli-lilly-partner/,2
Voyager shares spike on an early glimpse of promise for Parkinson�s gene therapy � Endpoints News,"December 7, 2016 07:45 PM EST",https://endpts.com/voyager-shares-spike-on-an-early-glimpse-of-promise-for-parkinsons-gene-therapy/,1
Serono spinout grabs a $31M round for a pair of proof-of-concept Parkinson�s trials � Endpoints News,"February 7, 2017 06:00 AM ESTUpdated 04:51 PM",https://endpts.com/serono-spinout-grabs-a-31m-round-for-a-pair-of-proof-of-concept-parkinsons-trials/,5
Acadia teams with storytelling giant StoryCorps to record Parkinson�s stories � and erase stigma � Endpoints News,"November 17, 2021 02:24 PM ESTUpdated November 18, 06:32 AM",https://endpts.com/acadia-teams-with-storytelling-giant-storycorps-to-record-parkinsons-stories-and-erase-stigma/,2
FDA rejects Google�s push to add virtual exam for Parkinson�s disease to its smartwatch � Endpoints News,"June 8, 2021 09:50 AM EDTUpdated June 11, 01:17 AM",https://endpts.com/fda-rejects-googles-push-to-add-virtual-exam-for-parkinsons-disease-to-its-smartwatch/,1
Neurocrine adds a Parkinson�s drug to its late-stage pipeline in $145M deal � Endpoints News,"February 9, 2017 04:56 PM EST",https://endpts.com/neurocrine-adds-a-parkinsons-drug-to-its-late-stage-pipeline-in-145m-deal/,2
Kyowa Hakko Kirin hit with a new PhIII setback on an old Parkinson�s drug � Endpoints News,"December 13, 2016 09:41 AM EST",https://endpts.com/kyowa-hakko-kirin-hit-with-a-new-phiii-setback-on-an-old-parkinsons-drug/,2
Acorda preps FDA filing after Parkinson�s drug hits the primary endpoint in PhIII � Endpoints News,"February 9, 2017 06:02 AM EST",https://endpts.com/breaking-acorda-preps-fda-filing-after-parkinsons-drug-hits-the-primary-endpoint-in-phiii/,4
"Acorda writes off $363M drug, axing PhIII Parkinson�s drug in the wake of 5 patient deaths � Endpoints News","November 20, 2017 07:20 AM ESTUpdated 08:05 AM",https://endpts.com/acorda-writes-off-363m-drug-axes-phiii-parkinsons-drug-in-the-wake-of-5-patient-deaths/,3
Orbimed partner in search of a cure for Parkinson�s launches new gene therapy player � Endpoints News,"August 9, 2017 10:40 AM EDTUpdated May 26, 08:50 PM",https://endpts.com/orbimed-partner-in-search-of-a-cure-for-parkinsons-launches-new-gene-therapy-player-prevail/,5
Sunovion bags PhIII Parkinson�s drug in $624M Cynapsus buyout � Endpoints News,"August 31, 2016 05:57 PM EDT",https://endpts.com/sunovion-bags-phiii-parkinsons-drug-in-624m-cynapsus-buyout/,2
"As a new study spotlights a growing role for LRRK2 in Parkinson�s, Denali clears an early trial hurdle � Endpoints News","August 2, 2018 08:44 AM EDT",https://endpts.com/as-a-new-study-spotlights-a-growing-role-for-lrrk2-in-parkinsons-denali-clears-an-early-trial-hurdle/,7
An upsized IPO? In this economy? Of course; Sofinnova and AbbVie lead $38M Series A for Parkinson�s startup � Endpoints News,"April 23, 2020 10:43 AM EDT",https://endpts.com/an-upsized-ipo-in-this-economy-of-course-sofinnova-and-abbvie-lead-38m-series-a-for-parkinsons-startup/,2
"Biogen hands Denali $1B-plus in cash, $1B-plus in milestones to partner on late-stage Parkinson�s drug � Endpoints News","August 6, 2020 08:42 AM EDTUpdated 02:14 PM",https://endpts.com/biogen-hands-denali-1b-plus-in-cash-1b-plus-in-milestones-to-partner-on-late-stage-parkinsons-drug/,1
Intec blitzed by PhIII flop as lead program fails to beat Merck�s standard combo for Parkinson�s � Endpoints News,"July 22, 2019 07:27 AM EDTUpdated 08:53 AM",https://endpts.com/intec-blitzed-by-phiii-failure-as-lead-program-failed-to-beat-a-standard-combo-for-parkinsons/,1
Mitsubishi Tanabe bags NeuroDerm and its PhIII Parkinson�s program for $1.1B � Endpoints News,"July 24, 2017 07:04 AM EDTUpdated 07:19 AM",https://endpts.com/mitsubishi-tanabe-bags-neuroderm-and-its-phiii-parkinsons-program-for-1-1b/,3
"Johns Hopkins scientists raise $137M megaround for a trio of spinouts looking to tackle Alzheimer�s, Parkinson�s and fibrosis � Endpoints News","August 14, 2019 09:49 AM EDT",https://endpts.com/johns-hopkins-scientists-raise-137m-megaround-for-a-trio-of-spinouts-looking-to-tackle-alzheimers-parkinsons-and-fibrosis/,1
"Sanofi Genzyme retreats from its Parkinson�s deal with gene therapy upstart Voyager, part of an $845M pact � Endpoints News","October 30, 2017 04:23 PM EDTUpdated May 26, 08:50 PM",https://endpts.com/sanofi-genzyme-retreats-from-its-parkinsons-deal-with-gene-therapy-upstart-voyager-part-of-an-845m-pact/,4
"After an odyssey of setbacks, FDA finally green-lights Newron�s Parkinson�s drug Xadago � Endpoints News","March 21, 2017 03:47 PM EDTUpdated March 22, 06:55 AM",https://endpts.com/after-an-odyssey-of-setbacks-fda-finally-green-lights-newrons-parkinsons-drug-xadago/,1
A pair of storied neuroscience biotechs looks to raise nearly $450M combined (and maybe more) via public offerings � Endpoints News,"October 19, 2022 11:37 AM EDT",https://endpts.com/a-pair-of-storied-neuroscience-biotechs-looks-to-raise-nearly-450m-combined-and-maybe-more-via-public-offerings/,1
"Novartis spinout�s first anti-aging PhIII is a flop, so now they�ll turn to Parkinson�s challenge as shares wilt � Endpoints News","November 15, 2019 07:59 AM ESTUpdated 10:59 AM",https://endpts.com/novartis-spinouts-first-anti-aging-phiii-is-a-flop-so-now-theyll-turn-to-parkinsons-challenge-as-shares-wilt/,0
Bain doubles down on Tony Coles� quest to get a late-stage Parkinson�s drug through to market � Endpoints News,"April 13, 2021 09:06 AM EDTUpdated 06:35 PM",https://endpts.com/bain-capital-novaquest-pony-up-125m-to-back-cerevels-late-stage-program-for-parkinsons-drug-tavapadon/,2
"Adamas wins its first FDA OK, setting up market launch for a reformulated Parkinson�s drug � Endpoints News","August 24, 2017 04:23 PM EDTUpdated August 25, 07:47 AM",https://endpts.com/adamas-wins-its-first-fda-ok-setting-up-market-launch-for-a-reformulated-parkinsons-drug/,7
"Watch out, Roche: Novartis inks $1.5B deal to chase down prominent Parkinson�s target � Endpoints News","December 2, 2021 07:03 AM EST",https://endpts.com/watch-out-roche-novartis-inks-1-5b-deal-to-chase-down-prominent-parkinsons-target/,1
Latest news on FDA�s second look at Amylyx; Unpacking Parkinson�s R&D; Fiona Marshall takes over NIBR from Jay Bradner; and more � Endpoints News,"September 3, 2022 06:00 AM EDT",https://endpts.com/latest-news-on-fdas-second-look-at-amylyx-unpacking-parkinsons-r-fiona-marshall-takes-over-nibr-from-jay-bradner-and-more/,0
"Taking on lousy side effects of existing meds, NEA-backed Xoc tackles Parkinson�s/migraines with $30M Series A � Endpoints News","February 6, 2018 05:05 PM EST",https://endpts.com/taking-on-lousy-side-effects-of-existing-meds-nea-backed-xoc-tackles-parkinsons-migraines-with-30m-series-a/,4
"FDA spurns Supernus for Parkinson�s drug, noting application issues �across several areas� � Endpoints News","October 10, 2022 11:19 AM EDT",https://endpts.com/fda-spurns-supernus-for-parkinsons-drug-noting-application-issues-across-several-areas/,5
"Scoop: Carisma stole CAR-M Thunder for a while, but a Utah biotech is quietly raising funds to enter the fray � Endpoints News","October 20, 2022 06:12 AM EDT",https://endpts.com/scoop-carisma-stole-car-m-thunder-for-a-while-but-a-utah-biotech-is-quietly-raising-funds-to-enter-the-fray/,0
Biogen sweeps out a Parkinson�s drug on PhII failure as analysts raise alarms about projected revenue slide � despite assuming an aducanumab OK � Endpoints News,"February 3, 2021 09:16 AM EST",https://endpts.com/biogen-sweeps-out-a-parkinsons-drug-on-phii-failure-as-analysts-raise-alarms-about-revenue-slide-despite-assuming-an-aducanumab-ok/,0
"FDA spurns Minerva�s schizophrenia drug in RTF, sending share price into tailspin � Endpoints News","October 17, 2022 10:48 AM EDT",https://endpts.com/fda-refuses-to-file-minervas-schizophrenia-drug-and-investors-wipe-out-67-of-biotechs-value/,1
"After 12 months of digging, Pfizer opts for one of two Voyager capsids for gene therapy � Endpoints News","October 4, 2022 10:24 AM EDT",https://endpts.com/after-12-months-of-digging-pfizer-opts-for-one-of-two-voyager-capsids-for-gene-therapy/,2
"Recently out-of-stealth neuroscience outfit unveils cash raise, more details on Lilly, Northwestern programs � Endpoints News","September 30, 2022 10:31 AM EDTUpdated 10:50 AM",https://endpts.com/recently-out-of-stealth-neuroscience-outfit-unveils-cash-raise-more-details-on-lilly-northwestern-programs/,1
"Deerfield backs a Penn spinout aiming to shake up Parkinson�s treatments using stem cells, brain surgery � Endpoints News","September 9, 2022 09:39 AM EDTUpdated 02:30 PM",https://endpts.com/deerfield-backs-a-penn-spinout-aiming-to-shake-up-parkinsons-treatments-using-stem-cells-brain-surgery/,1
"Months after launching with lofty goal, Flagship startup streamlines ops, chops headcount � Endpoints News","September 20, 2022 07:10 AM EDT",https://endpts.com/months-after-launching-with-lofty-goal-flagship-startup-streamlines-ops-chops-headcount/,0
"MacroGenics earmarks $580M for ADC tech; Domainex, nonprofit team up on Parkinson�s program � Endpoints News","February 3, 2022 10:53 AM EST",https://endpts.com/macrogenics-plops-down-580m-for-adc-tech-domainex-nonprofit-team-up-on-parkinsons-program/,6
Lundbeck bags a PhII Parkinson�s drug with $1.1B Prexton buyout deal � Endpoints News,"March 16, 2018 07:15 AM EDT",https://endpts.com/lundbeck-bags-a-phii-parkinsons-drug-with-1-1b-prexton-buyout/,5
"On a continued hunt for Parkinson�s breakthroughs, AbbVie turns to a biotech in its portfolio � Endpoints News","June 9, 2021 06:00 AM EDTUpdated June 11, 11:42 PM",https://endpts.com/on-a-continued-hunt-for-parkinsons-breakthroughs-abbvie-turns-to-a-biotech-in-its-portfolio/,0
"Its sale to Allergan was called off at the last minute. One year later, a biotech co-founded by Henri Termeer finds a new buyer � Endpoints News","October 1, 2020 07:00 AM EDT",https://endpts.com/its-sale-to-allergan-was-called-off-at-the-last-minute-one-year-later-a-biotech-co-founded-by-henri-termeer-finds-a-new-buyer/,5
"Sanofi joins the alpha-synuclein bandwagon, handing Korean biotech $75M for preclinical bispecific � Endpoints News","January 12, 2022 07:18 AM EST",https://endpts.com/sanofi-joins-the-alpha-synuclein-bandwagon-handing-korean-biotech-75m-for-preclinical-bispecific/,1
"A Tony Coles Parkinson�s biotech, Yumanity, continues its backslide as lead program earns a partial hold � Endpoints News","January 19, 2022 10:21 AM EST",https://endpts.com/tony-coles-parkinsons-biotech-continues-its-backslide-as-lead-program-earns-a-partial-hold/,5
"�There was a growing weariness�: Rushing against a pandemic clock, Aspen Neuroscience secures $70M Series A � Endpoints News","April 1, 2020 11:00 AM EDTUpdated January 25, 02:34 PM",https://endpts.com/there-was-a-growing-weariness-aspen-neurosciences-secures-70m-series-a-to-ease-investors-concerns/,4
"Annovis Bio claims wins in Alzheimer�s and Parkinson�s, shares skyrocket; FDA delays decision for Omeros� narsoplimab � Endpoints News","May 21, 2021 11:00 AM EDT",https://endpts.com/annovis-bio-claims-wins-in-alzheimers-and-parkinsons-shares-skyrocket-fda-delays-decision-for-omeros-narsoplimab/,4
"Following Vounatsos� announced departure, Biogen partners with private Canadian biotech for oral Parkinson�s treatment � Endpoints News","June 6, 2022 10:50 AM EDTUpdated June 8, 12:00 PM",https://endpts.com/following-vounatsos-departure-biogen-partners-with-private-canadian-biotech-for-oral-parkinsons-treatment/,6
"Looking to replicate Covid-19 success in neuro, BioNTech backers bet on AC Immune and its newly-acquired Parkinson�s vaccine � Endpoints News","July 27, 2021 10:41 AM EDT",https://endpts.com/looking-to-replicate-covid-19-success-in-neuro-biontech-backers-bet-on-ac-immune-and-its-newly-acquired-parkinsons-vaccine/,5
Prevail grabs $75M A round in the hunt for new gene therapies to stop the destruction caused by Parkinson�s � Endpoints News,"March 8, 2018 07:02 AM ESTUpdated 08:26 AM",https://endpts.com/prevail-grabs-75m-a-round-in-the-hunt-for-new-gene-therapies-to-stop-the-destruction-caused-by-parkinsons/,3
"Trying to shake up the Parkinson�s paradigm, AbbVie submits NDA for continuous, 24-hour infusion therapy � Endpoints News","May 20, 2022 10:31 AM EDT",https://endpts.com/trying-to-shake-up-the-parkinsons-paradigm-abbvie-submits-nda-for-continuous-24-hour-infusion-therapy/,5
Ipsen bets up to $363M on another shot at a debilitating condition related to Parkinson�s disease � Endpoints News,"July 15, 2021 05:31 PM EDT",https://endpts.com/ipsen-bets-up-to-363m-on-another-shot-at-a-debilitating-condition-related-to-parkinsons-disease/,6
"Dismissing critical reports on patient deaths, FDA says safety/effectiveness of Nuplazid holds up under review � Endpoints News","September 20, 2018 01:21 PM EDT",https://endpts.com/dismissing-critical-reports-on-patient-deaths-fda-says-safety-effectiveness-of-nuplazid-holds-up-under-review/,3
"Roche, Prothena hustle to PhII with their disease-modifying Parkinson�s drug targeting alpha-synuclein � Endpoints News","April 2, 2017 09:43 AM EDT",https://endpts.com/roche-prothena-hustle-to-phii-with-their-disease-modifying-parkinsons-drug-targeting-alpha-synuclein/,3
Cerevel plots first late-stage move as Pfizer drug comes through in PhII Parkinson�s trial � Endpoints News,"September 24, 2019 10:32 AM EDTUpdated September 26, 09:48 AM",https://endpts.com/cerevel-plots-first-late-stage-move-as-pfizer-drug-comes-through-in-phii-parkinsons-trial/,5
"Unfazed by PhII miss, Roche ushers Prothena�s Parkinson�s drug into late-stage trial � a $60M move � Endpoints News","October 21, 2020 07:08 AM EDTUpdated 07:23 AM",https://endpts.com/unfazed-by-phii-miss-roche-ushers-prothenas-parkinsons-drug-into-late-stage-trial-a-60m-move/,4
Voyager�s gene therapy for Parkinson�s shows promise in early data from small Phase Ib trial � Endpoints News,"March 9, 2018 08:25 AM EST",https://endpts.com/voyagers-gene-therapy-for-parkinsons-shows-promise-in-early-data-from-small-phase-ib-trial/,3
"Exclusive: Roche tees up $3B+ for Shape�s RNA editing platform, with the bold promise of �one-time� cures for Alzheimer�s, Parkinson�s � Endpoints News","August 24, 2021 08:00 AM EDT",https://endpts.com/exclusive-roche-tees-up-3b-for-shapes-rna-editing-platform-with-the-bold-promise-of-one-time-cures-for-alzheimers-parkinsons/,1
"Armed with $36M A round, Johns Hopkins spinout Neuraly heads to PhI Parkinson�s trial � Endpoints News","July 18, 2018 09:48 AM EDTUpdated 10:06 AM",https://endpts.com/armed-with-36m-a-round-johns-hopkins-spinout-neuraly-heads-to-phi-parkinsons-trial/,3
Scientists hold out hope for regenerative infusion via brain implant � despite failing its first test in Parkinson�s � Endpoints News,"February 27, 2019 10:50 AM EST",https://endpts.com/scientists-holds-out-hope-for-regenerative-infusion-via-brain-implant-despite-failing-its-first-test-in-parkinsons/,6
"AbbVie enlists protein degradation experts at Mission for a new bet on Alzheimer�s, Parkinson�s � Endpoints News","November 15, 2018 06:57 AM EST",https://endpts.com/abbvie-enlists-protein-degradation-experts-at-mission-for-a-new-bet-on-alzheimers-parkinsons/,3
"Lundbeck adds a Parkinson�s flop to its list of setbacks, writing off a $1.1 billion deal on mid-stage failure � Endpoints News","March 30, 2020 09:30 AM EDTUpdated 10:37 AM",https://endpts.com/lundbeck-adds-a-parkinsons-flop-to-its-list-of-setbacks-writing-off-a-1-1-billion-deal-on-mid-stage-failure/,2
"Bayer is going all in on next-gen stem cell biotech BlueRock, buying out Versant and founders for $600M � Endpoints News","August 8, 2019 07:00 AM EDT",https://endpts.com/bayer-is-going-all-in-on-next-gen-stem-cell-biotech-bluerock-buying-out-versant-and-founders-for-600m/,1
FDA advisors mostly agree that Acadia�s Nuplazid isn�t effective at treating Alzheimer�s-related psychosis � Endpoints News,"June 17, 2022 04:21 PM EDTUpdated June 23, 09:53 AM",https://endpts.com/fda-advisors-mostly-agree-that-acadias-drug-isnt-effective-at-treating-alzheimers-related-psychosis/,1
Blueprint maps plans for $150M raise; GlaxoSmithKline creates discovery pact with Warp Drive � Endpoints News,"March 29, 2017 10:17 AM EDTUpdated 10:37 AM",https://endpts.com/blueprint-maps-plans-for-150m-raise-embattled-depomed-gets-new-ceo/,2
"Touting new way of mining neuro targets, Takeda spinout draws $45M from GV, Bill Gates, Foresite � Endpoints News","April 14, 2020 09:29 AM EDTUpdated 12:28 PM",https://endpts.com/touting-new-way-of-mining-neuro-targets-takeda-spinout-draws-45m-from-gv-bill-gates-foresite/,4
Prothena collects $60M Parkinson�s milestone from Roche; AstraZeneca�s Pascal Soriot faces proxy pushback on pay package � Endpoints News,"May 11, 2021 11:08 AM EDTUpdated 11:37 AM",https://endpts.com/rocket-nets-40m-loss-in-q1-report-prothena-collects-60m-parkinsons-milestone-from-roche/,2
"Citing �strategic considerations,� AbbVie breaks off Parkinson�s deal with biotech partner � Endpoints News","April 20, 2022 07:37 AM EDTUpdated 01:50 PM",https://endpts.com/citing-strategic-considerations-abbvie-breaks-off-parkinsons-deal-with-biotech-partner/,1
Publicis Health snaps up R&D marketing group tracking real-world clinical trials � and patient sentiment � Endpoints News,"January 20, 2022 02:14 PM ESTUpdated January 21, 03:16 PM",https://endpts.com/publicis-health-snaps-up-rd-marketing-group-tracking-real-world-clinical-trials-and-patient-sentiment/,0
Seattle�s Impel NeuroPharma bags $67.5M crossover raise for a round of new drug/device CNS clinical trials � Endpoints News,"December 6, 2018 06:46 AM EST",https://endpts.com/seattles-impel-neuropharma-bags-67-5m-crossover-raise-for-a-round-of-new-drug-device-cns-clinical-trials/,2
Kyowa Kirin pulls the plug on drug development for successor to Parkinson�s drug Nourianz � Endpoints News,"July 15, 2022 10:38 AM EDT",https://endpts.com/kyowa-kirin-pulls-the-plug-on-drug-development-for-successor-to-parkinsons-drug-nourianz/,2
Can CBD temper Parkinson�s-related psychosis? UK researchers will look for answers in PhII study � Endpoints News,"October 15, 2019 10:44 AM EDT",https://endpts.com/can-cbd-temper-parkinsons-related-psychosis-uk-researchers-will-look-for-answers-in-phase-ii-study/,5
"As Covid-related challenges weigh on patient recruitment, biotech scraps PhIIb/III Parkinson�s program � Endpoints News","June 17, 2022 06:44 AM EDT",https://endpts.com/as-covid-related-challenges-weigh-on-patient-recruitment-biotech-scraps-phiib-iii-parkinsons-program/,2
Parkinson�s transplants emerge as stem cell pioneer Jeanne Loring joins R&D race � Endpoints News,"December 12, 2019 06:00 AM ESTUpdated 02:37 PM",https://endpts.com/stem-cell-pioneer-jeanne-loring-tosses-hat-into-quickening-parkinsons-race/,10
"Allergan bags two new deals, takes option to buy Lysosomal Therapeutics and pays $50M for microbiome pact � Endpoints News","January 9, 2017 09:25 AM EST",https://endpts.com/allergan-bags-two-new-deals-takes-option-to-buy-lysosomal-therapeutics-and-pays-50m-for-microbiome-pact/,2
"Citing migraine drug growth and pandemic, Lundbeck to cut 300 jobs and close India facility � Endpoints News","November 12, 2021 07:04 AM ESTUpdated 07:19 AM",https://endpts.com/citing-migraine-drug-growth-and-pandemic-lundbeck-to-cut-300-jobs-and-close-india-facility/,2
"Voyager Therapeutics adds proof its gene therapy for Parkinson�s can work, shares soar � Endpoints News","September 6, 2017 06:59 AM EDTUpdated May 26, 08:50 PM",https://endpts.com/voyager-therapeutics-posts-added-proof-its-gene-therapy-for-parkinsons-can-work/,3
"Pfizer is axing its neurosciences division, laying off 300 and discarding new drugs � Endpoints News","January 6, 2018 10:22 AM EST",https://endpts.com/pfizer-is-axing-its-neurosciences-division-laying-off-300-and-discarding-new-drugs/,2
Acadia hits another Nuplazid roadblock as the FDA doles out CRL and recommends another trial � Endpoints News,"August 5, 2022 10:17 AM EDTUpdated 11:09 AM",https://endpts.com/acadia-hits-another-nuplazid-roadblock-as-the-fda-doles-out-crl-and-recommends-another-trial/,1
"Acadia is making the best of it, but their latest PhIII Nuplazid study is a bust � Endpoints News","July 22, 2019 05:06 PM EDTUpdated 05:47 PM",https://endpts.com/acadia-is-making-the-best-of-it-but-their-latest-phiii-nuplazid-study-is-a-bust/,0
"FDA stiff-arms Aveo on tivo, again; Sunovion Parkinson�s drug rejected � Endpoints News","January 31, 2019 10:30 AM EST",https://endpts.com/fda-stiff-arms-aveo-on-tivo-again-sunovion-parkinsons-drug-rejected/,2
"Fresh off positive Nuplazid data, Acadia adds new clinical drug from Vanderbilt in milestone-heavy deal � Endpoints News","May 8, 2020 09:53 AM EDTUpdated 11:59 AM",https://endpts.com/fresh-off-positive-nuplazid-data-acadia-adds-new-clinical-drug-from-vanderbilt-in-milestone-heavy-deal/,2
Updated: Acorda shares surge as a big investor pushes it to the auction block � Endpoints News,"August 7, 2017 10:05 AM EDTUpdated 07:42 PM",https://endpts.com/acorda-shares-surge-as-a-big-investor-pushes-it-to-the-auction-block/,2
"Eli Lilly seeds a well-connected China neuro startup with drugs aiming at where Biogen, Voyager missed � Endpoints News","April 14, 2021 07:00 AM EDT",https://endpts.com/eli-lilly-seeds-a-well-connected-china-neuro-startup-with-drugs-aiming-at-where-biogen-voyager-missed/,3
